指标名称,PCA1,PCA2,PCA3
2000-01-31,-100199.96289467382,-4.22091895442042,1.1055181226984439
2000-02-29,-100799.11893136313,-3.096021821415434,-0.8011724926975958
2000-03-31,-100966.0069626057,-4.2209189544204175,-2.1535724487411736
2000-04-30,-98225.87700324785,-4.509130302471048,-2.980506536895943
2000-05-31,-98409.492126339,-3.8704366600762676,-2.064390357907875
2000-06-30,-98382.42208696634,-3.2317430176814868,-4.670620341653512
2000-07-31,-96772.45230546845,-3.084842517736417,-6.7830705797203485
2000-08-31,-96700.67271190185,-3.2940139639750052,-3.1511700085721817
2000-09-30,-96559.08033245095,-3.644496258319155,-3.4404164161857893
2000-10-31,-93317.96188747986,-3.7913967582642254,-3.4667255090873987
2000-11-30,-93223.10401803207,-2.1012562328369944,-3.2451420270996523
2000-12-31,-92772.74051916241,-1.8186345366258718,-2.6029970944464003
2001-01-31,-97290.60763378486,-2.0956665809974866,-0.9224494672760881
2001-02-28,-97870.2244447204,-3.7913967582642254,0.11973361398464423
2001-03-31,-97993.17643509895,-2.660909973419732,1.0097711215272531
2001-04-30,-95370.12853476404,-1.3835226886301701,2.0876758589727515
2001-05-31,-95565.50189133939,-1.3156620904971437,2.061366766071142
2001-06-30,-95518.870080216,-1.6661443848412938,2.7824389774292233
2001-07-31,-93973.69891848156,-1.6717340366808016,3.920369059861188
2001-08-31,-93896.45184516885,-2.745539527071284,5.058299142293152
2001-09-30,-93693.2535078039,-3.5654563565071116,5.9783493223289925
2001-10-31,-90633.85695576789,-2.994623312245358,6.669408861193841
2001-11-30,-90517.7292903276,-3.9949785526633055,7.833648036527417
2001-12-31,-90028.10517691198,-4.0684288026358395,8.498398482490655
2002-01-31,-95227.19431989282,-4.690353489512097,9.189458021355504
2002-02-28,-95277.20245172974,-3.350695258429016,9.057248648081181
2002-03-31,-95532.90526622129,-4.407731793300973,8.994183632269367
2002-04-30,-92630.20770714903,-4.967385533883712,7.712818227060136
2002-05-31,-92832.51381270932,-4.611313587700053,6.693904567875666
2002-06-30,-92814.87059969496,-3.6732292935756248,6.587633929543789
2002-07-31,-90782.02249753474,-3.9614406416262558,6.210571652205459
2002-08-31,-90714.64575000339,-3.8257194453602024,5.46774985418379
2002-09-30,-90536.33456415305,-3.752269195387668,4.604685348309067
2002-10-31,-87059.10199394383,-3.9670302934657644,3.8836131369509848
2002-11-30,-86955.88546060829,-3.6788189454151325,2.6450061891506036
2002-12-31,-86376.25631251553,-3.034535651180844,1.5251221137906033
2003-01-31,-90567.29948927206,-2.7120016160342346,-1.1382471584202511
2003-02-28,-91515.10306746133,-2.6273720623826833,-3.3449629658216704
2003-03-31,-91690.47083464457,-1.7850966255888228,-4.525728312814534
2003-04-30,-88962.82248700524,-1.7906862774283303,-4.069930774651498
2003-05-31,-89074.33835723033,-2.5084198216351545,-1.8714780530797253
2003-06-30,-89052.95817026209,-3.2940139639750052,-1.0805975754928585
2003-07-31,-86347.25861089025,-3.084842517736417,-1.2360763708434437
2003-08-31,-86323.72864331264,-2.4461488753416365,-1.2360763708434437
2003-09-30,-86078.3256180315,-2.0900769291579784,-1.3187072291398951
2003-10-31,-81831.9543462381,-1.1009009924190478,-1.6192179898324706
2003-11-30,-81779.12877865614,0.521378934875156,-3.046356076302017
2003-12-31,-81091.26599465986,1.0243513810038838,-4.657465795202707
2004-01-31,-85727.92331436818,0.8774508810588142,-5.261334969533082
2004-02-29,-86403.88195670626,-0.4566176981847583,-5.806698634289665
2004-03-31,-86515.82021489384,0.7417296847927607,-7.20382404826598
2004-04-30,-82319.93223100704,1.9456667196097877,-8.626402628497503
2004-05-31,-82620.45310009894,2.866982058215692,-9.632123337655146
2004-06-30,-82553.21817880226,3.861747646794131,-10.513897759368108
2004-07-31,-79464.21596711717,4.285680191110815,-10.637844046812788
2004-08-31,-79482.8223744024,4.285680191110815,-11.598545747230578
2004-09-30,-79156.75207739683,4.144369343005254,-12.887395118775107
2004-10-31,-74626.4079043136,2.8725717100551997,-13.639999838039094
2004-11-30,-74563.45910793263,0.7529089884717768,-12.991775563735144
2004-12-31,-73853.87432307805,0.040765096104461086,-11.081674919554553
2005-01-31,-79550.15228844523,-0.5923388944508117,-9.283553897397374
2005-02-28,-79983.42038370048,1.8666268177977448,-8.237220071433804
2005-03-31,-80283.18934099098,0.31779714047607605,-8.311549440324585
2005-04-30,-75951.34267835683,-0.8805502425014429,-8.53687490547998
2005-05-31,-76267.22576931684,-0.8805502425014429,-8.720144225568827
2005-06-30,-76161.14649556,-1.0897216887400312,-7.507846370670053
2005-07-31,-73002.76682221907,-0.7336497425563732,-7.061639735869212
2005-08-31,-72993.89166729555,-1.440203983084181,-6.803964239737537
2005-09-30,-72685.58990631261,-1.9319971255338924,-5.543607705273568
2005-10-31,-67093.0939380481,-1.4346143312446726,-4.766213728520645
2005-11-30,-66912.18705167237,-1.2198532331665763,-3.406700164100934
2005-12-31,-65991.98139049017,-0.7959206888498916,-3.076176730915126
2006-01-31,-71665.12152486642,-0.5188886444782769,-4.148526098973191
2006-02-28,-73117.14462994225,-1.6381961256437527,-4.456520826001061
2006-03-31,-73281.95709963284,-1.8529572237218492,-3.6513363245098787
2006-04-30,-67641.53428855834,-1.287713831299603,-2.2444663928672712
2006-05-31,-67952.25641774214,-0.8581916351434103,-3.0556534288570996
2006-06-30,-67824.65452234942,-0.569980287092779,-4.578500112921853
2006-07-31,-64536.78221127387,-1.3499847775931217,-4.653608601306985
2006-08-31,-64491.48458657151,-0.9995024832489717,-4.593544852744494
