时间,BL,Market
2016-03-29,100.0,100.0
2016-03-30,100.34568829114245,102.20589281263723
2016-03-31,100.34898582702296,102.35542995123981
2016-04-01,100.37072279140979,102.41842098694059
2016-04-05,100.4990712450853,103.57043869591426
2016-04-06,100.48207908133418,103.70147723826315
2016-04-07,100.3595458887533,102.68050860289557
2016-04-08,100.39691527543289,102.42688056649858
2016-04-11,100.64672987069743,103.86645840162838
2016-04-12,100.65467021006178,103.70690778093503
2016-04-13,100.86299269227028,105.05249240353565
2016-04-14,100.81682075721695,105.45033475281886
2016-04-15,100.74658770726674,105.25978597392267
2016-04-18,100.712791845724,104.27473159283589
2016-04-19,100.8218461406176,104.66991615939571
2016-04-20,100.48641977558925,102.26188874447033
2016-04-21,100.6450337012569,102.30522470090068
2016-04-22,100.30127511383552,102.08905021026906
2016-04-25,99.98683330608468,101.59742510387129
2016-04-26,100.09293831749918,102.19211513794801
2016-04-27,100.20509372809438,102.14650825290785
2016-04-28,100.1556396866383,101.83494796394041
2016-04-29,100.17338475900308,101.89595863388014
2016-05-03,100.61843356781681,103.73816288519903
2016-05-04,100.51065110806196,103.4780322339087
2016-05-05,100.52482544384536,103.67558437707262
2016-05-06,100.08179708416512,101.04550732228348
2016-05-09,99.95048334647052,98.73371318210845
2016-05-10,100.06362223197627,98.73437107334935
2016-05-11,100.3739537043862,99.04537117218213
2016-05-12,100.31983390320637,98.86635146157847
2016-05-13,100.16319910478755,98.54603011896462
2016-05-16,100.34411098200702,99.57732904394477
2016-05-17,100.43531545676198,99.5115399314657
2016-05-18,100.21616302261091,98.04596951113157
2016-05-19,100.08539411437434,98.04837293397316
2016-05-20,100.11242927136475,98.4558155590752
2016-05-23,100.07569245926749,98.96203811659598
2016-05-24,99.94633208184871,98.3187053544343
2016-05-25,100.03810483150058,98.18458545679182
2016-05-26,100.21692704788848,98.5771925674916
2016-05-27,100.21387994919408,98.48564393993064
2016-05-30,100.31613195105682,98.3624635616887
2016-05-31,100.55507112060977,100.69987912700891
2016-06-01,100.52070104752548,100.83159685333362
2016-06-02,100.56752980202639,101.25082280150646
2016-06-03,100.72986970375959,101.66132230633731
2016-06-06,100.92616671543402,101.98920156650611
2016-06-07,100.98767681913998,102.05638214575437
2016-06-08,100.9821967218517,101.87330839899798
2016-06-13,100.93817233696552,99.66912484088978
2016-06-14,100.88548738145617,99.69709458615826
2016-06-15,101.0120989607818,101.24292242771527
2016-06-16,101.01981559618154,101.22726808405416
2016-06-17,101.06297592884488,101.5045870038241
2016-06-20,101.17083151620787,101.63248457985826
2016-06-21,101.11254617882052,101.1351009028201
2016-06-22,101.22344650116395,101.9362470661196
2016-06-23,101.33637128719776,101.74771284200352
2016-06-24,101.35844595142139,101.30150868394583
2016-06-27,101.71980181173106,102.62963827661295
2016-06-28,101.94656997977584,103.17919737087303
2016-06-29,101.93078044034635,103.49120426587974
2016-06-30,102.13073893998885,103.6701937301517
2016-07-01,102.2433387189063,103.85555038366479
2016-07-04,102.6421316453192,105.53230562221833
2016-07-05,102.52185038539623,105.63776891737963
2016-07-06,102.65703140542963,106.36932405484329
2016-07-07,102.77637822106895,106.81131203394956
2016-07-08,102.66007415879352,106.18540110335759
2016-07-11,103.02193442809329,107.06692534806544
2016-07-12,103.13372071939948,107.7499002303923
2016-07-13,103.32787102827956,108.46528978764631
2016-07-14,103.32633588998219,108.22949352016688
2016-07-15,103.31587341131072,108.15340788044891
2016-07-18,103.27413524991786,107.81253225891918
2016-07-19,103.29882815635003,107.74692047944063
2016-07-20,103.26704342295155,107.36904054183591
2016-07-21,103.40489469993501,107.58147387166616
2016-07-22,103.17296308580428,106.66956528429337
2016-07-25,103.14117157466566,106.59002225066179
2016-07-26,103.43870036113059,107.86061215173123
2016-07-27,103.27487420742413,106.00127419373426
2016-07-28,103.30535775458767,106.05898871177834
2016-07-29,103.1632789283661,105.33823736573493
2016-08-01,103.203078395571,104.85408555568678
2016-08-02,103.26218614980596,105.27415117757563
2016-08-03,103.27578797358427,105.44237356878531
2016-08-04,103.33054384297067,105.62576962151525
2016-08-05,103.42620614244487,105.56202671614034
2016-08-08,103.5682796122579,106.0886344747217
2016-08-09,103.72716907008062,106.67474205121965
2016-08-10,103.86165676275279,106.83303482093879
2016-08-11,103.70254934863968,105.92079529532748
2016-08-12,103.93713024124295,106.84875086504732
2016-08-15,104.35389603449639,108.57060432350818
2016-08-16,104.43730958647517,108.91981266652355
2016-08-17,104.4142928951835,108.922149386736
2016-08-18,104.39646119949664,108.92834832206593
2016-08-19,104.33885158161245,108.90542702751749
2016-08-22,104.22826050696099,108.08645765117848
2016-08-23,104.26843439511795,108.35662081936715
2016-08-24,104.16263925475057,108.15992252704069
2016-08-25,103.98412296000015,107.46658442232379
2016-08-26,104.01718426680124,107.66449969834272
2016-08-29,104.03018908759773,107.63579805043588
2016-08-30,103.9867077317337,107.68460244631693
2016-08-31,103.94601500437793,107.72817729359315
2016-09-01,103.88101675072615,107.24487747725284
2016-09-02,103.91091839260469,107.23982005299888
2016-09-05,104.04403694035092,107.70442987008818
2016-09-06,104.20666144904351,108.48443911204062
2016-09-07,104.22915832843691,108.54856259119283
2016-09-08,104.28633320154653,108.71821133358223
2016-09-09,104.22523801450505,108.1824491043849
2016-09-12,103.80479955980071,106.02929218537369
2016-09-13,103.83963851511757,106.23696889552075
2016-09-14,103.8021872886108,105.87101694745667
2016-09-19,104.11324295243674,106.72980844622306
2016-09-20,104.15527942329106,106.73810935487002
2016-09-21,104.21017084558517,106.95795711273067
