时间,上证指数,沪深300,能源指数,工业指数,医疗保健指数,公用事业指数,中债-信用债总财富(总值)指数,中债-企业债总财富(总值)指数,中债-国开行债券总财富(总值)指数,南华农产品指数,黄金指数,日常消费指数,材料指数,电信服务指数,恒生综指
2016-03-29,-0.05668686729370881,0.0272048766031654,0.02594178980616027,0.01065581881586712,0.026537716481490576,0.024229690399656608,0.24016256618337525,0.29931375759115925,0.2773793951812977,0.0636460944598014,0.033650501470563615,0.021986622783194385,-0.051911286733801736,0.0185233129479957,0.03936601130378337
2016-03-30,-0.05668686729370881,0.0272048766031654,0.02594178980616027,0.01065581881586712,0.026537716481490576,0.024229690399656608,0.24016256618337525,0.29931375759115925,0.2773793951812977,0.0636460944598014,0.033650501470563615,0.021986622783194385,-0.051911286733801736,0.0185233129479957,0.03936601130378337
2016-03-31,-0.05668686729370881,0.0272048766031654,0.02594178980616027,0.01065581881586712,0.026537716481490576,0.024229690399656608,0.24016256618337525,0.29931375759115925,0.2773793951812977,0.0636460944598014,0.033650501470563615,0.021986622783194385,-0.051911286733801736,0.0185233129479957,0.03936601130378337
2016-04-01,-0.05668686729370881,0.0272048766031654,0.02594178980616027,0.01065581881586712,0.026537716481490576,0.024229690399656608,0.24016256618337525,0.29931375759115925,0.2773793951812977,0.0636460944598014,0.033650501470563615,0.021986622783194385,-0.051911286733801736,0.0185233129479957,0.03936601130378337
2016-04-05,-0.05668686729370881,0.0272048766031654,0.02594178980616027,0.01065581881586712,0.026537716481490576,0.024229690399656608,0.24016256618337525,0.29931375759115925,0.2773793951812977,0.0636460944598014,0.033650501470563615,0.021986622783194385,-0.051911286733801736,0.0185233129479957,0.03936601130378337
2016-04-06,-0.05668686729370881,0.0272048766031654,0.02594178980616027,0.01065581881586712,0.026537716481490576,0.024229690399656608,0.24016256618337525,0.29931375759115925,0.2773793951812977,0.0636460944598014,0.033650501470563615,0.021986622783194385,-0.051911286733801736,0.0185233129479957,0.03936601130378337
2016-04-07,-0.05668686729370881,0.0272048766031654,0.02594178980616027,0.01065581881586712,0.026537716481490576,0.024229690399656608,0.24016256618337525,0.29931375759115925,0.2773793951812977,0.0636460944598014,0.033650501470563615,0.021986622783194385,-0.051911286733801736,0.0185233129479957,0.03936601130378337
2016-04-08,-0.05668686729370881,0.0272048766031654,0.02594178980616027,0.01065581881586712,0.026537716481490576,0.024229690399656608,0.24016256618337525,0.29931375759115925,0.2773793951812977,0.0636460944598014,0.033650501470563615,0.021986622783194385,-0.051911286733801736,0.0185233129479957,0.03936601130378337
2016-04-11,-0.05668686729370881,0.0272048766031654,0.02594178980616027,0.01065581881586712,0.026537716481490576,0.024229690399656608,0.24016256618337525,0.29931375759115925,0.2773793951812977,0.0636460944598014,0.033650501470563615,0.021986622783194385,-0.051911286733801736,0.0185233129479957,0.03936601130378337
2016-04-12,-0.05668686729370881,0.0272048766031654,0.02594178980616027,0.01065581881586712,0.026537716481490576,0.024229690399656608,0.24016256618337525,0.29931375759115925,0.2773793951812977,0.0636460944598014,0.033650501470563615,0.021986622783194385,-0.051911286733801736,0.0185233129479957,0.03936601130378337
2016-04-13,-0.05668686729370881,0.0272048766031654,0.02594178980616027,0.01065581881586712,0.026537716481490576,0.024229690399656608,0.24016256618337525,0.29931375759115925,0.2773793951812977,0.0636460944598014,0.033650501470563615,0.021986622783194385,-0.051911286733801736,0.0185233129479957,0.03936601130378337
2016-04-14,-0.05668686729370881,0.0272048766031654,0.02594178980616027,0.01065581881586712,0.026537716481490576,0.024229690399656608,0.24016256618337525,0.29931375759115925,0.2773793951812977,0.0636460944598014,0.033650501470563615,0.021986622783194385,-0.051911286733801736,0.0185233129479957,0.03936601130378337
2016-04-15,-0.05668686729370881,0.0272048766031654,0.02594178980616027,0.01065581881586712,0.026537716481490576,0.024229690399656608,0.24016256618337525,0.29931375759115925,0.2773793951812977,0.0636460944598014,0.033650501470563615,0.021986622783194385,-0.051911286733801736,0.0185233129479957,0.03936601130378337
2016-04-18,-0.05668686729370881,0.0272048766031654,0.02594178980616027,0.01065581881586712,0.026537716481490576,0.024229690399656608,0.24016256618337525,0.29931375759115925,0.2773793951812977,0.0636460944598014,0.033650501470563615,0.021986622783194385,-0.051911286733801736,0.0185233129479957,0.03936601130378337
2016-04-19,-0.05668686729370881,0.0272048766031654,0.02594178980616027,0.01065581881586712,0.026537716481490576,0.024229690399656608,0.24016256618337525,0.29931375759115925,0.2773793951812977,0.0636460944598014,0.033650501470563615,0.021986622783194385,-0.051911286733801736,0.0185233129479957,0.03936601130378337
2016-04-20,-0.05668686729370881,0.0272048766031654,0.02594178980616027,0.01065581881586712,0.026537716481490576,0.024229690399656608,0.24016256618337525,0.29931375759115925,0.2773793951812977,0.0636460944598014,0.033650501470563615,0.021986622783194385,-0.051911286733801736,0.0185233129479957,0.03936601130378337
2016-04-21,-0.05668686729370881,0.0272048766031654,0.02594178980616027,0.01065581881586712,0.026537716481490576,0.024229690399656608,0.24016256618337525,0.29931375759115925,0.2773793951812977,0.0636460944598014,0.033650501470563615,0.021986622783194385,-0.051911286733801736,0.0185233129479957,0.03936601130378337
2016-04-22,-0.05668686729370881,0.0272048766031654,0.02594178980616027,0.01065581881586712,0.026537716481490576,0.024229690399656608,0.24016256618337525,0.29931375759115925,0.2773793951812977,0.0636460944598014,0.033650501470563615,0.021986622783194385,-0.051911286733801736,0.0185233129479957,0.03936601130378337
