Date,RP,Market
2016-03-29,100.0,100.0
2016-03-30,100.26972398547294,102.20589281263723
2016-03-31,100.28155944594329,102.35542995123981
2016-04-01,100.32391190947934,102.41842098694059
2016-04-05,100.48047289867614,103.57043869591426
2016-04-06,100.46462570998924,103.70147723826315
2016-04-07,100.35866082856938,102.68050860289557
2016-04-08,100.30174055290072,102.42688056649858
2016-04-11,100.48068545852419,103.86645840162838
2016-04-12,100.40902060275332,103.70690778093503
2016-04-13,100.5154412726307,105.05249240353565
2016-04-14,100.45756592991701,105.45033475281886
2016-04-15,100.41905232883082,105.25978597392267
2016-04-18,100.40779892727656,104.27473159283589
2016-04-19,100.45400440429452,104.66991615939571
2016-04-20,100.16973603420321,102.26188874447033
2016-04-21,100.14337030059099,102.30522470090068
2016-04-22,99.90055769009717,102.08905021026906
2016-04-25,99.6167806487847,101.59742510387129
2016-04-26,99.69567745413701,102.19211513794801
2016-04-27,99.76736292288207,102.14650825290785
2016-04-28,99.7440661525711,101.83494796394041
2016-04-29,99.74549820852641,101.89595863388014
2016-05-03,100.09947000038377,103.73816288519903
2016-05-04,100.07038673695365,103.4780322339087
2016-05-05,100.12284914052923,103.67558437707262
2016-05-06,99.80744195985231,101.04550732228348
2016-05-09,99.6946273528566,98.73371318210845
2016-05-10,99.79068399983254,98.73437107334935
2016-05-11,99.9373777122925,99.04537117218213
2016-05-12,99.96990557980853,98.86635146157847
2016-05-13,99.90024870206987,98.54603011896462
2016-05-16,100.03581865894537,99.57732904394477
2016-05-17,100.08330867015236,99.5115399314657
2016-05-18,99.8759633007316,98.04596951113157
2016-05-19,99.85657065289813,98.04837293397316
2016-05-20,99.90491928170283,98.4558155590752
2016-05-23,99.93278479577825,98.96203811659598
2016-05-24,99.8452859261821,98.3187053544343
2016-05-25,99.90166304470338,98.18458545679182
2016-05-26,100.02688886221253,98.5771925674916
2016-05-27,100.02108787940622,98.48564393993064
2016-05-30,100.10849579570464,98.3624635616887
2016-05-31,100.33547453543335,100.69987912700891
2016-06-01,100.34802227404039,100.83159685333362
2016-06-02,100.41054993741221,101.25082280150646
2016-06-03,100.50370618276503,101.66132230633731
2016-06-06,100.62012140922809,101.98920156650611
2016-06-07,100.67911424906812,102.05638214575437
2016-06-08,100.66570771565469,101.87330839899798
2016-06-13,100.52898744955738,99.66912484088978
2016-06-14,100.56144243366944,99.69709458615826
2016-06-15,100.72200001524678,101.24292242771527
2016-06-16,100.71750870210465,101.22726808405416
2016-06-17,100.79131087200388,101.5045870038241
2016-06-20,100.8894804958362,101.63248457985826
2016-06-21,100.83875830711197,101.1351009028201
2016-06-22,100.94644025929543,101.9362470661196
2016-06-23,100.97975156862482,101.74771284200352
2016-06-24,100.91386448140716,101.30150868394583
2016-06-27,101.23892230538627,102.62963827661295
2016-06-28,101.40355762882419,103.17919737087303
2016-06-29,101.42959014318534,103.49120426587974
2016-06-30,101.56360709655917,103.6701937301517
2016-07-01,101.6617534674152,103.85555038366479
2016-07-04,101.96805826549738,105.53230562221833
2016-07-05,101.9118150977896,105.63776891737963
2016-07-06,101.95330327317093,106.36932405484329
2016-07-07,102.03651953742596,106.81131203394956
2016-07-08,101.96504757516418,106.18540110335759
2016-07-11,102.1674094387919,107.06692534806544
2016-07-12,102.2710340997574,107.7499002303923
2016-07-13,102.40184178966129,108.46528978764631
2016-07-14,102.41393655910409,108.22949352016688
2016-07-15,102.40693170147384,108.15340788044891
2016-07-18,102.38783085454124,107.81253225891918
2016-07-19,102.43237432439578,107.74692047944063
2016-07-20,102.45463722575208,107.36904054183591
2016-07-21,102.58726257814676,107.58147387166616
2016-07-22,102.42892871566029,106.66956528429337
2016-07-25,102.41809390747996,106.59002225066179
2016-07-26,102.58512187799124,107.86061215173123
2016-07-27,102.43769145947606,106.00127419373426
2016-07-28,102.45054813179861,106.05898871177834
2016-07-29,102.37780032036392,105.33823736573493
2016-08-01,102.41512318910422,104.85408555568678
2016-08-02,102.47402700143424,105.27415117757563
2016-08-03,102.50435175336065,105.44237356878531
2016-08-04,102.57470233621075,105.62576962151525
2016-08-05,102.64346367326141,105.56202671614034
2016-08-08,102.78312638373734,106.0886344747217
2016-08-09,102.91558342974965,106.67474205121965
2016-08-10,103.02952026258052,106.83303482093879
2016-08-11,102.92430668029782,105.92079529532748
2016-08-12,103.1046085584493,106.84875086504732
2016-08-15,103.4146223548824,108.57060432350818
2016-08-16,103.44600554424079,108.91981266652355
2016-08-17,103.44938275212871,108.922149386736
2016-08-18,103.42199512206014,108.92834832206593
2016-08-19,103.39175278193962,108.90542702751749
2016-08-22,103.31853722501903,108.08645765117848
2016-08-23,103.32201102341978,108.35662081936715
2016-08-24,103.24927209805779,108.15992252704069
2016-08-25,103.14473831799094,107.46658442232379
2016-08-26,103.15920523743614,107.66449969834272
2016-08-29,103.18106794153465,107.63579805043588
2016-08-30,103.12871197878337,107.68460244631693
2016-08-31,103.1091648146114,107.72817729359315
2016-09-01,103.065303714943,107.24487747725284
2016-09-02,103.08904583120623,107.23982005299888
