时间,SV,Market
2016-03-29,100.0,100.0
2016-03-30,97.53107277577668,102.20589281263723
2016-03-31,97.2640459472975,102.35542995123981
2016-04-01,96.70252683395165,102.41842098694059
2016-04-05,94.97926762858715,103.57043869591426
2016-04-06,94.52367853239524,103.70147723826315
2016-04-07,95.66643284671574,102.68050860289557
2016-04-08,97.11044269484493,102.42688056649858
2016-04-11,95.62278986033176,103.86645840162838
2016-04-12,95.57596531796018,103.70690778093503
2016-04-13,94.23360786229202,105.05249240353565
2016-04-14,93.35511775865139,105.45033475281886
2016-04-15,93.40982115505629,105.25978597392267
2016-04-18,94.4971752674305,104.27473159283589
2016-04-19,94.85324420081139,104.66991615939571
2016-04-20,97.53926305702417,102.26188874447033
2016-04-21,98.21857902276724,102.30522470090068
2016-04-22,97.14861212570818,102.08905021026906
2016-04-25,96.71214322923615,101.59742510387129
2016-04-26,95.78923493789473,102.19211513794801
2016-04-27,96.99134881592482,102.14650825290785
2016-04-28,97.15791683836544,101.83494796394041
2016-04-29,97.25621946211784,101.89595863388014
2016-05-03,96.01120389836912,103.73816288519903
2016-05-04,96.10569689430154,103.4780322339087
2016-05-05,95.76723833726464,103.67558437707262
2016-05-06,98.4902262190834,101.04550732228348
2016-05-09,101.66909813990523,98.73371318210845
2016-05-10,101.93252942927484,98.73437107334935
2016-05-11,102.46483418406744,99.04537117218213
2016-05-12,102.40959913866851,98.86635146157847
2016-05-13,103.01228991697766,98.54603011896462
2016-05-16,102.4022602983717,99.57732904394477
2016-05-17,101.70993721753409,99.5115399314657
2016-05-18,103.81242379091337,98.04596951113157
2016-05-19,103.07967417478532,98.04837293397316
2016-05-20,102.13923307734612,98.4558155590752
2016-05-23,101.29387264052691,98.96203811659598
2016-05-24,102.12590293229891,98.3187053544343
2016-05-25,102.17461924094466,98.18458545679182
2016-05-26,101.64364264315276,98.5771925674916
2016-05-27,102.07403573506701,98.48564393993064
2016-05-30,102.38497777876321,98.3624635616887
2016-05-31,99.68355474986814,100.69987912700891
2016-06-01,99.08202054062514,100.83159685333362
2016-06-02,98.56959853327308,101.25082280150646
2016-06-03,98.61689862092652,101.66132230633731
2016-06-06,99.28690536944552,101.98920156650611
2016-06-07,99.2226552586267,102.05638214575437
2016-06-08,99.5974020260845,101.87330839899798
2016-06-13,103.62369051484603,99.66912484088978
2016-06-14,103.3804185341683,99.69709458615826
2016-06-15,101.9798048057053,101.24292242771527
2016-06-16,103.43075777273083,101.22726808405416
2016-06-17,102.08745386101069,101.5045870038241
2016-06-20,101.98393342747569,101.63248457985826
2016-06-21,102.26627199924691,101.1351009028201
2016-06-22,100.72388030927473,101.9362470661196
2016-06-23,101.06506598521163,101.74771284200352
2016-06-24,103.20663248397793,101.30150868394583
2016-06-27,100.98274932632303,102.62963827661295
2016-06-28,100.18460269152168,103.17919737087303
2016-06-29,100.10911952318129,103.49120426587974
2016-06-30,100.20578094639406,103.6701937301517
2016-07-01,100.22386938411564,103.85555038366479
2016-07-04,100.62668602887743,105.53230562221833
2016-07-05,100.95877763031976,105.63776891737963
2016-07-06,101.46103434013611,106.36932405484329
2016-07-07,101.6210957515346,106.81131203394956
2016-07-08,101.66399283338612,106.18540110335759
2016-07-11,101.48082687635073,107.06692534806544
2016-07-12,102.30820955491518,107.7499002303923
2016-07-13,102.2102711313545,108.46528978764631
2016-07-14,102.3341619372022,108.22949352016688
2016-07-15,102.46440379790826,108.15340788044891
2016-07-18,102.55532693359146,107.81253225891918
2016-07-19,102.41294761225667,107.74692047944063
2016-07-20,102.60040009615261,107.36904054183591
2016-07-21,102.90991761881685,107.58147387166616
2016-07-22,102.6957569356816,106.66956528429337
2016-07-25,102.88939122225034,106.59002225066179
2016-07-26,103.40591882288268,107.86061215173123
2016-07-27,102.6591341645543,106.00127419373426
2016-07-28,103.07045936417143,106.05898871177834
2016-07-29,103.03887136279906,105.33823736573493
2016-08-01,102.37710466680238,104.85408555568678
2016-08-02,102.66127811784875,105.27415117757563
2016-08-03,102.77366347597507,105.44237356878531
2016-08-04,102.85446247604342,105.62576962151525
2016-08-05,102.82876931010634,105.56202671614034
2016-08-08,103.23568403062376,106.0886344747217
2016-08-09,103.66288077310605,106.67474205121965
2016-08-10,103.36264432987514,106.83303482093879
2016-08-11,103.31001726602445,105.92079529532748
2016-08-12,103.93020666336821,106.84875086504732
2016-08-15,104.84966757228027,108.57060432350818
2016-08-16,104.62056652134054,108.91981266652355
2016-08-17,104.70163354527378,108.922149386736
2016-08-18,104.69071301756834,108.92834832206593
2016-08-19,104.83080710412864,108.90542702751749
2016-08-22,104.64775569788974,108.08645765117848
2016-08-23,104.88265851622387,108.35662081936715
2016-08-24,104.82568389777309,108.15992252704069
2016-08-25,104.68486144104052,107.46658442232379
2016-08-26,104.91938686991008,107.66449969834272
2016-08-29,105.01682353301929,107.63579805043588
2016-08-30,104.94818077880197,107.68460244631693
2016-08-31,105.17306740013514,107.72817729359315
2016-09-01,104.96898262549404,107.24487747725284
2016-09-02,104.98627892563445,107.23982005299888
2016-09-05,105.02398538743563,107.70442987008818
2016-09-06,105.46310052168802,108.48443911204062
2016-09-07,105.50840467862793,108.54856259119283
