时间,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,Q
2016-03-29,0.037062767991456566,-0.01617342792681836,-0.35598892416774003,-0.09110807647928836,-0.20419594029541052,0.1502803052543896,0.5869276695060585,0.6197581617132139,0.3237081283522907,-0.016585790710982592,0.18856914975824685,0.043734462410842716,-0.2556816149649857,-0.1691759512586991,0.15886908081742585,-0.14697861910284574
2016-03-30,0.037062767991456566,-0.01617342792681836,-0.35598892416774003,-0.09110807647928836,-0.20419594029541052,0.1502803052543896,0.5869276695060585,0.6197581617132139,0.3237081283522907,-0.016585790710982592,0.18856914975824685,0.043734462410842716,-0.2556816149649857,-0.1691759512586991,0.15886908081742585,-0.14697861910284574
2016-03-31,0.037062767991456566,-0.01617342792681836,-0.35598892416774003,-0.09110807647928836,-0.20419594029541052,0.1502803052543896,0.5869276695060585,0.6197581617132139,0.3237081283522907,-0.016585790710982592,0.18856914975824685,0.043734462410842716,-0.2556816149649857,-0.1691759512586991,0.15886908081742585,-0.14697861910284574
2016-04-01,0.037062767991456566,-0.01617342792681836,-0.35598892416774003,-0.09110807647928836,-0.20419594029541052,0.1502803052543896,0.5869276695060585,0.6197581617132139,0.3237081283522907,-0.016585790710982592,0.18856914975824685,0.043734462410842716,-0.2556816149649857,-0.1691759512586991,0.15886908081742585,-0.14697861910284574
2016-04-05,0.037062767991456566,-0.01617342792681836,-0.35598892416774003,-0.09110807647928836,-0.20419594029541052,0.1502803052543896,0.5869276695060585,0.6197581617132139,0.3237081283522907,-0.016585790710982592,0.18856914975824685,0.043734462410842716,-0.2556816149649857,-0.1691759512586991,0.15886908081742585,-0.14697861910284574
2016-04-06,0.037062767991456566,-0.01617342792681836,-0.35598892416774003,-0.09110807647928836,-0.20419594029541052,0.1502803052543896,0.5869276695060585,0.6197581617132139,0.3237081283522907,-0.016585790710982592,0.18856914975824685,0.043734462410842716,-0.2556816149649857,-0.1691759512586991,0.15886908081742585,-0.14697861910284574
2016-04-07,0.037062767991456566,-0.01617342792681836,-0.35598892416774003,-0.09110807647928836,-0.20419594029541052,0.1502803052543896,0.5869276695060585,0.6197581617132139,0.3237081283522907,-0.016585790710982592,0.18856914975824685,0.043734462410842716,-0.2556816149649857,-0.1691759512586991,0.15886908081742585,-0.14697861910284574
2016-04-08,0.037062767991456566,-0.01617342792681836,-0.35598892416774003,-0.09110807647928836,-0.20419594029541052,0.1502803052543896,0.5869276695060585,0.6197581617132139,0.3237081283522907,-0.016585790710982592,0.18856914975824685,0.043734462410842716,-0.2556816149649857,-0.1691759512586991,0.15886908081742585,-0.14697861910284574
2016-04-11,0.037062767991456566,-0.01617342792681836,-0.35598892416774003,-0.09110807647928836,-0.20419594029541052,0.1502803052543896,0.5869276695060585,0.6197581617132139,0.3237081283522907,-0.016585790710982592,0.18856914975824685,0.043734462410842716,-0.2556816149649857,-0.1691759512586991,0.15886908081742585,-0.14697861910284574
2016-04-12,0.037062767991456566,-0.01617342792681836,-0.35598892416774003,-0.09110807647928836,-0.20419594029541052,0.1502803052543896,0.5869276695060585,0.6197581617132139,0.3237081283522907,-0.016585790710982592,0.18856914975824685,0.043734462410842716,-0.2556816149649857,-0.1691759512586991,0.15886908081742585,-0.14697861910284574
2016-04-13,0.037062767991456566,-0.01617342792681836,-0.35598892416774003,-0.09110807647928836,-0.20419594029541052,0.1502803052543896,0.5869276695060585,0.6197581617132139,0.3237081283522907,-0.016585790710982592,0.18856914975824685,0.043734462410842716,-0.2556816149649857,-0.1691759512586991,0.15886908081742585,-0.14697861910284574
2016-04-14,0.037062767991456566,-0.01617342792681836,-0.35598892416774003,-0.09110807647928836,-0.20419594029541052,0.1502803052543896,0.5869276695060585,0.6197581617132139,0.3237081283522907,-0.016585790710982592,0.18856914975824685,0.043734462410842716,-0.2556816149649857,-0.1691759512586991,0.15886908081742585,-0.14697861910284574
2016-04-15,0.037062767991456566,-0.01617342792681836,-0.35598892416774003,-0.09110807647928836,-0.20419594029541052,0.1502803052543896,0.5869276695060585,0.6197581617132139,0.3237081283522907,-0.016585790710982592,0.18856914975824685,0.043734462410842716,-0.2556816149649857,-0.1691759512586991,0.15886908081742585,-0.14697861910284574
2016-04-18,0.037062767991456566,-0.01617342792681836,-0.35598892416774003,-0.09110807647928836,-0.20419594029541052,0.1502803052543896,0.5869276695060585,0.6197581617132139,0.3237081283522907,-0.016585790710982592,0.18856914975824685,0.043734462410842716,-0.2556816149649857,-0.1691759512586991,0.15886908081742585,-0.14697861910284574
